ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"85.222.67.66","elite","AS6830","PL","ASTER Sp. z o.o.","52","Aster Sp. z o.o.","5678","socks4","896","1","2024-01-29T01:31:06.343Z","100","5807","5821"
"104.238.205.68","elite","AS23470","US","ReliableSite.Net LLC","103","ReliableSite.Net LLC","4003","socks4","3597","85","2024-01-29T01:31:06.342Z","76","4478","5920"
"200.70.19.93","elite","AS10834","AR","Telefonica de Argentina","221","Telefonica de Argentina","4153","socks4","2094","1","2024-01-29T01:31:06.341Z","99","5757","5836"
"202.183.9.154","elite","AS131736","ID","BIGNET","818","N/A","5678","socks4","4693","1","2024-01-29T01:31:06.345Z","79","4618","5864"
"116.58.224.33","elite","AS131090","TH","CAT Telecom Public Company Limited","280","CAT BB","8080","socks5","4903","1","2024-01-29T01:31:06.344Z","81","4695","5785"
"36.73.107.91","elite","AS7713","ID","PT. TELKOM INDONESIA","182","N/A","5678","socks4","3603","2","2024-01-29T01:31:03.247Z","91","5287","5835"
"200.0.247.242","elite","AS10834","AR","Telefonica de Argentina","299","Smart S.A","5678","socks4","175","1","2024-01-29T01:31:03.241Z","95","5597","5900"
"1.1.168.61","elite","AS23969","TH","TOT Public Company Limited","160","TOT Public Company Limited","4145","socks4","4701","1","2024-01-29T01:31:03.245Z","75","4417","5852"
"137.184.42.134","elite","AS14061","US","DigitalOcean, LLC","153","DigitalOcean, LLC","12544","socks4","5000","1","2024-01-29T01:31:03.239Z","100","5870","5896"
"203.176.141.166","elite","AS38235","KH","Angkor Data Communication","163","Mekongnet","4145","socks4","992","1","2024-01-29T01:31:03.247Z","100","5860","5887"
"178.49.234.94","elite","AS31200","RU","Novotelecom Ltd.","94","Novotelecom ltd.","5678","socks4","4994","1","2024-01-29T01:31:00.141Z","99","5841","5887"
"135.181.79.170","elite","AS24940","FI","Hetzner Online GmbH","38","Hetzner","22679","socks4","2092","1","2024-01-29T01:31:00.237Z","97","5707","5861"
"103.117.108.89","elite","AS137935","BD","I Link Internet Service (I.T)","180","I Link Internet Service (I.T)","4153","socks4","4008","1","2024-01-29T01:31:00.135Z","98","5798","5909"
"101.231.66.130","elite","AS4812","CN","China Telecom (Group)","185","Chinanet SH","80","socks5","310","1","2024-01-29T01:31:00.137Z","90","5253","5834"
"62.171.131.104","elite","AS51167","DE","Contabo GmbH","16","Contabo GmbH","11212","socks5","221","96","2024-01-29T01:31:00.138Z","100","1","1"
"121.141.50.246","elite","AS4766","KR","Korea Telecom","247","Kornet","5678","socks4","3696","1","2024-01-29T01:30:57.145Z","50","2948","5859"
